date,title,budget ,domestic_gross,world_gross
2001-11-09,Shallow Hal,40000000,70836296,70836296
2001-11-09,Heist,35000000,23483357,28906817
2001-11-14,The Wash,4000000,10097096,10097096
2001-11-15,Harry Potter and the Sorcerers Stone,125000000,317871467,975047606
2001-11-21,Spy Game,90000000,62362560,143049560
2001-11-21,Black Knight,35000000,33422806,33422806
2001-11-21,Out Cold,11000000,13906394,14786394
2001-11-30,Behind Enemy Lines,40000000,58855732,58855732
2001-12-07,Oceans Eleven,85000000,183417150,450728529
2001-12-14,Vanilla Sky,70000000,100614858,202726605
2001-12-14,The Royal Tenenbaums,28000000,52353636,71430876
2001-12-14,Not Another Teen Movie,15000000,37882551,62401343
2001-12-19,The Lord of the Rings: The Fellowship of the Ring,109000000,315544750,887210985
2001-12-21,A Beautiful Mind,78000000,170708996,317668058
2001-12-21,Jimmy Neutron: Boy Genius,25000000,80936232,102992536
2001-12-21,How High,12000000,31155435,31222395
2001-12-21,The Majestic,72000000,27796042,37306334
2001-12-21,Joe Somebody,38000000,22770864,24515990
2001-12-25,Ali,108000000,58183966,87683966
2001-12-25,Kate and Leopold,48000000,47095453,70937778
2001-12-25,The Shipping News,35000000,11405825,24405825
2001-12-26,Gosford Park,18000000,41300105,41300105
2001-12-26,Monsters Ball,4000000,31273922,43766463
2001-12-28,Black Hawk Down,95000000,108638745,159691085
2001-12-28,I Am Sam,22000000,40270895,92542418
2002-01-11,Orange County,18000000,41059716,43308707
2002-01-18,Snow Dogs,32000000,81150692,116898028
2002-01-25,The Count of Monte Cristo,40000000,54228104,75389090
2002-01-25,A Walk to Remember,11000000,41227069,46060861
2002-01-25,The Mothman Prophecies,42000000,35228696,56438555
2002-01-25,Kung Pow: Enter the Fist,10000000,16033556,17033556
2002-02-08,Big Fat Liar,15000000,47811275,52461017
2002-02-08,Collateral Damage,85000000,40048332,78353508
2002-02-08,Rollerball,70000000,18990542,25852508
2002-02-15,John Q,36000000,71026631,102226631
2002-02-15,Peter Pan: Return to Neverland,20000000,48430258,109862682
2002-02-15,Crossroads,12000000,37188667,57000000
2002-02-15,Harts War,70000000,19076815,33076815
2002-02-15,Super Troopers,1200000,18492362,23046142
2002-02-19,Reign of Fire,60000000,43061982,82150183
2002-02-22,Queen of the Damned,35000000,30307804,30307804
2002-02-22,Dragonfly,60000000,30063805,30063805
2002-02-22,Monsoon Wedding,1200000,13876974,27025600
2002-03-01,We Were Soldiers,70000000,78120196,114658262
2002-03-01,40 Days and 40 Nights,17000000,37939782,95092667
2002-03-08,The Time Machine,80000000,56684819,98983590
2002-03-08,All About the Benjamins,14000000,25482931,25873145
2002-03-15,Ice Age,65000000,176387405,386116343
2002-03-15,Resident Evil,35000000,40119709,103787401
2002-03-15,Showtime,85000000,37948765,78948765
2002-03-22,Blade 2,54000000,81676888,154338601
2002-03-22,Sorority Boys,12000000,10198766,12516222
2002-03-29,Panic Room,48000000,95308367,196308367
2002-03-29,The Rookie,22000000,75600072,80491516
2002-03-29,Clockstoppers,26000000,36985501,38788828
2002-04-05,High Crimes,42000000,41543207,63781100
2002-04-05,National Lampoons Van Wilder,6000000,21305259,39241323
2002-04-12,Changing Lanes,45000000,66790248,66790248
2002-04-12,The Sweetest Thing,43000000,24430272,63078756
2002-04-12,Frailty,11000000,13110448,19947280
2002-04-19,My Big Fat Greek Wedding,5000000,241438208,374890034
2002-04-19,The Scorpion King,60000000,90580000,165890634
2002-04-19,Murder by Numbers,50000000,31874869,56643267
2002-04-26,"Life, or Something Like It",40000000,14448589,14448589
2002-04-26,Jason X,14000000,13121555,16951798
2002-05-03,Spider-Man,138000000,407677927,825677927
2002-05-08,Unfaithful,50000000,52752475,119114494
2002-05-10,The New Guy,13000000,28972187,28972187
2002-05-16,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615
2002-05-17,About a Boy,27000000,40803000,130759651
2002-05-24,Spirit: Stallion of the Cimarron,80000000,73215310,106515310
2002-05-24,Insomnia,46000000,67263182,113622499
2002-05-24,Enough,38000000,39177215,50970660
2002-05-31,The Sum of All Fears,68000000,118471320,193500000
2002-05-31,Undercover Brother,25000000,38230435,40796145
2002-06-07,The Divine Secrets of the Ya-Ya Sisterhood,27000000,69586544,73826768
2002-06-07,Bad Company,70000000,30157016,69157016
2002-06-14,Scooby-Doo,84000000,153294164,276294164
2002-06-14,The Bourne Identity,60000000,121468960,214357371
2002-06-14,Windtalkers,113500000,40914068,77628265
2002-06-21,Lilo & Stitch,80000000,145771527,245800000
2002-06-21,Minority Report,102000000,132024714,358824714
2002-06-21,Juwanna Mann,15500000,13571817,13771817
2002-06-28,Mr. Deeds,50000000,126293452,171269535
2002-06-28,Hey Arnold! The Movie,10000000,13684949,13684949
2002-07-03,Men in Black 2,140000000,190418803,441767803
2002-07-03,Like Mike,30000000,51432423,62432423
2002-07-03,The Powerpuff Girls,25000000,11411644,16425701
2002-07-12,Road to Perdition,80000000,104054514,183354514
2002-07-12,Halloween: Resurrection,15000000,30259652,37659652
2002-07-12,The Crocodile Hunter: Collision Course,12500000,28436931,33436931
2002-07-17,Eight Legged Freaks,30000000,17266505,36722311
2002-07-19,Stuart Little 2,120000000,64956806,166000000
2002-07-19,K-19: The Widowmaker,90000000,35168966,65716126
2002-07-25,Austin Powers in Goldmember,63000000,213117789,296338663
2002-07-26,The Country Bears,20000000,16988996,16988996
2002-08-02,Signs,70000000,227969295,408269295
2002-08-02,The Master of Disguise,16000000,40363530,40363530
2002-08-07,Spy Kids 2: The Island of Lost Dreams,38000000,85846296,119721296
2002-08-07,The Good Girl,8000000,14018296,16585503
2002-08-09,xXx,70000000,141930000,267200000
2002-08-09,Blood Work,50000000,26199517,26199517
2002-08-16,Blue Crush,30000000,40118420,51618420
2002-08-16,Possession,25000000,10103647,14805812
2002-08-21,One Hour Photo,12000000,31597131,52223306
2002-08-23,Serving Sara,29000000,16930185,20146150
2002-08-23,Undisputed,20000000,12398628,12398628
2002-08-30,FearDotCom,40000000,13208023,13208023
2002-09-06,Swimfan,10000000,28564995,34084228
2002-09-06,City by the Sea,40000000,22433915,22433915
2002-09-13,Barbershop,12000000,75781642,77063461
2002-09-13,Stealing Harvard,25000000,13973532,13973532
2002-09-20,The Banger Sisters,10000000,30306281,38067218
2002-09-20,The Four Feathers,35000000,18306166,29882645
2002-09-20,Ballistic: Ecks vs. Sever,70000000,14294842,14294842
2002-09-20,Sen to Chihiro no Kamikakushi,19000000,10049886,273079182
2002-09-27,Sweet Home Alabama,38000000,127214072,182365114
2002-09-27,The Tuxedo,60000000,50586000,104429625
2002-10-04,Red Dragon,78000000,92955420,206455420
2002-10-04,Jonah: A VeggieTales Movie,14000000,25571351,25608779
2002-10-11,Brown Sugar,8000000,27362712,28315272
2002-10-11,The Transporter,21000000,25296447,43928932
2002-10-11,Tuck Everlasting,15000000,19161999,19344615
2002-10-11,Punch-Drunk Love,25000000,17791031,24591031
2002-10-11,White Oleander,16000000,16357770,21657770
2002-10-11,Knockaround Guys,15000000,11660180,12419700
2002-10-18,The Ring,48000000,129094024,248218486
2002-10-18,Abandon,25000000,10719367,12219367
2002-10-25,Jackass: The Movie,5000000,64282312,79282312
2002-10-25,Ghost Ship,20000000,30113491,68349884
2002-10-25,Frida,12000000,25885000,56131239
2002-11-01,The Santa Clause 2,65000000,139225854,172825854
2002-11-01,I Spy,70000000,33561137,60279822
2002-11-08,8 Mile,41000000,116724075,245768384
2002-11-08,Far From Heaven,13500000,15901849,29027914
2002-11-15,Harry Potter and the Chamber of Secrets,100000000,262233381,879225135
2002-11-15,Half Past Dead,25000000,15567860,19233280
2002-11-22,Die Another Day,140000000,160942139,431942139
2002-11-22,Friday After Next,10000000,33253609,33526835
